Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,Order ID,City,State,Postal Code,Region,Product ID,Product Category,Product Type,Product Name,Price,Quantity,Revenue,Discount,Profit
11/8/2016,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,United States,10001,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2, $524.00 ,0%, $41.91 
11/8/2016,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,United States,10002,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3," $2,196.00 ",0%, $219.58 
6/12/2016,6/16/2016,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,10003,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2, $29.00 ,0%, $6.87 
10/11/2015,10/18/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,10004,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5," $4,788.00 ",45%, $(383.03)
10/11/2015,10/18/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,10005,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2, $45.00 ,20%, $2.52 
6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,10006,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7, $342.00 ,0%, $14.17 
6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,10007,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4, $29.00 ,0%, $1.97 
6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,10008,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6," $5,443.00 ",20%, $90.72 
6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,10009,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3, $56.00 ,20%, $5.78 
6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,10010,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5, $575.00 ,0%, $34.47 
6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,10011,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9," $15,356.00 ",20%, $85.31 
6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,10012,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4," $3,646.00 ",20%, $68.36 
4/15/2017,4/20/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,10013,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3, $47.00 ,20%, $5.44 
12/5/2016,12/10/2016,Standard Class,IM-15070,Irene Maddox,Consumer,United States,10014,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3," $1,224.00 ",20%, $132.59 
11/22/2015,11/26/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,10015,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5, $344.00 ,80%, $(123.86)
11/22/2015,11/26/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,10016,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3, $8.00 ,80%, $(3.82)
